tourney_id,tourney_name,surface,draw_size,tourney_level,tour_yr,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1999-339,Adelaide,Hard,32,A,1999,19990104,1,102158,1,,Patrick Rafter,R,185,AUS,26.01779603,102863,,Q,Takao Suzuki,R,175,JPN,22.28884326,6-3 6-0,3,R32,54,4,3,55,36,29,9,8,8,8,2,2,36,28,14,4,7,3,7,4,3315,115,415
1999-339,Adelaide,Hard,32,A,1999,19990104,2,101792,,,Slava Dosedel,R,183,CZE,28.39151266,101793,,,Jim Courier,R,185,USA,28.38329911,7-5 6-3,3,R32,71,5,0,53,37,29,12,10,1,1,3,2,71,41,31,12,11,5,8,64,723,77,635
1999-339,Adelaide,Hard,32,A,1999,19990104,3,102562,,,Jiri Novak,R,190,CZE,23.78918549,102776,,,Andrew Ilie,R,180,AUS,22.71321013,6-2 6-1,3,R32,45,1,2,41,24,19,11,7,0,0,2,4,47,22,12,8,8,3,8,75,669,59,757
1999-339,Adelaide,Hard,32,A,1999,19990104,4,103720,,WC,Lleyton Hewitt,R,180,AUS,17.85900068,103017,7,,Nicolas Kiefer,R,183,GER,21.50034223,7-5 6-4,3,R32,86,4,1,68,50,37,11,11,1,1,5,3,74,44,30,17,11,8,10,100,482,35,1007
1999-339,Adelaide,Hard,32,A,1999,19990104,5,101727,4,,Jason Stoltenberg,R,185,AUS,28.75290897,103324,,,Arnaud Di Pasquale,R,185,FRA,19.89596167,6-1 6-4,3,R32,61,7,3,57,32,28,12,9,1,1,2,2,52,25,16,13,8,4,7,27,1280,81,613
1999-339,Adelaide,Hard,32,A,1999,19990104,6,101150,,,Gianluca Pozzi,L,180,ITA,33.54962355,101889,,,Todd Woodbridge,R,178,AUS,27.75906913,6-4 6-2,3,R32,69,5,1,49,24,19,17,9,1,2,3,2,62,37,21,12,9,3,7,61,730,65,722
1999-339,Adelaide,Hard,32,A,1999,19990104,7,102318,,,Andrei Pavel,R,183,ROU,24.93634497,102025,,Q,Mikael Tillstrom,R,185,SWE,26.83367556,6-3 6-3,3,R32,68,5,2,54,41,28,8,9,3,4,5,4,79,51,28,12,9,7,11,68,710,85,588
1999-339,Adelaide,Hard,32,A,1999,19990104,8,101647,5,,Byron Black,R,175,ZIM,29.24572211,102434,,,Vincent Spadea,R,183,USA,24.46269678,1-6 7-6(6) 6-2,3,R32,120,5,4,79,45,35,18,13,3,6,7,0,106,59,42,23,14,5,8,28,1259,42,935
1999-339,Adelaide,Hard,32,A,1999,19990104,9,102021,6,,Michael Chang,R,175,USA,26.86652977,103206,,Q,Sebastien Grosjean,R,175,FRA,20.60232717,6-3 3-6 6-3,3,R32,106,5,2,84,36,30,26,14,7,10,6,3,87,48,33,16,13,5,9,29,1242,88,568
1999-339,Adelaide,Hard,32,A,1999,19990104,10,102401,,,Scott Draper,L,178,AUS,24.58316222,102925,,,Justin Gimelstob,R,196,USA,21.93839836,3-6 7-6(6) 6-3,3,R32,129,11,2,103,68,51,15,14,10,13,11,5,108,75,53,13,16,4,8,51,819,80,615
1999-339,Adelaide,Hard,32,A,1999,19990104,11,101833,,WC,Michael Tebbutt,L,190,AUS,28.03559206,102205,,,Sebastien Lareau,R,183,CAN,25.68925394,6-3 3-6 6-1,3,R32,89,6,5,75,36,26,21,13,0,3,4,3,67,37,23,13,12,2,7,122,393,79,622
1999-339,Adelaide,Hard,32,A,1999,19990104,12,102856,3,,Gustavo Kuerten,R,190,BRA,22.31622177,102259,,,Jerome Golmard,L,188,FRA,25.31964408,7-5 6-1,3,R32,64,17,1,53,28,24,18,10,1,1,3,5,56,30,20,13,9,1,4,23,1472,47,883
1999-339,Adelaide,Hard,32,A,1999,19990104,13,103103,,,Dominik Hrbaty,R,183,SVK,20.99931554,103264,8,,Mariano Puerta,L,180,ARG,20.29295003,4-6 6-1 7-5,3,R32,120,13,10,116,58,43,31,15,17,18,6,4,95,68,45,14,14,6,9,46,884,39,983
