tourney_id,tourney_name,surface,draw_size,tourney_level,tour_yr,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,1,102610,,,Albert Costa,R,180,ESP,29.31690623,103789,,,Irakli Labadze,L,188,GEO,23.35934292,6-2 5-7 7-5,3,R64,161,8,1,99,58,45,21,16,8,10,5,13,118,64,40,28,16,13,17,54,705,65,598
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,2,103344,,,Ivan Ljubicic,R,193,CRO,25.58521561,104607,,Q,Tomas Berdych,R,196,CZE,19.08555784,6-4 6-4,3,R64,76,10,3,55,29,26,15,10,1,1,6,4,58,29,21,16,10,4,6,29,1085,38,883
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,3,102179,,Q,Antony Dupuis,R,185,FRA,31.64681725,102860,,,Agustin Calleri,R,183,ARG,28.09308693,6-4 6-4,3,R64,72,9,0,49,32,27,14,10,0,0,5,5,65,28,23,19,10,2,4,96,436,56,685
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,4,103084,,,Guillermo Canas,R,185,ARG,26.89664613,104019,,Q,Kristof Vliegen,R,193,BEL,22.32443532,5-7 7-5 6-1,3,R64,147,6,7,88,44,32,24,16,2,6,9,3,107,53,35,23,15,4,10,16,1369,112,384
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,5,104417,,,Robin Soderling,R,193,SWE,20.1779603,104252,,,Florian Mayer,R,190,GER,21.03764545,6-3 7-6(2),3,R64,79,8,1,96,57,45,19,11,5,5,4,1,57,37,27,13,10,2,3,34,965,35,961
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,6,102374,,WC,Alex Corretja,R,180,ESP,30.52156057,103970,,WC,David Ferrer,R,175,ESP,22.54620123,7-5 6-1,3,R64,72,5,2,51,25,25,16,10,1,1,4,6,62,34,26,8,9,2,5,86,471,42,824
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,7,103163,,,Tommy Haas,R,188,GER,26.54346338,103598,,,Xavier Malisse,R,185,BEL,24.24914442,6-4 6-1,3,R64,58,4,3,49,30,26,12,9,4,4,5,2,43,25,18,7,8,1,4,26,1135,49,760
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,8,103758,,,Taylor Dent,R,188,USA,23.48528405,104022,,,Mikhail Youzhny,R,183,RUS,22.31622177,6-3 6-2,3,R64,55,5,0,44,32,28,8,9,0,0,3,7,54,30,18,10,8,3,6,40,855,31,1065
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,9,103632,,,Luis Horna,R,180,PER,24.09308693,102271,,,Hicham Arazi,L,175,MAR,30.99794661,6-4 7-5,3,R64,96,6,2,73,39,29,19,11,3,4,4,1,75,49,30,15,11,7,10,41,845,48,765
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,10,103888,,,Mardy Fish,R,188,USA,22.85831622,104339,,,Mario Ancic,R,196,CRO,20.55304586,0-6 6-4 6-4,3,R64,101,4,5,64,28,22,20,13,0,3,9,6,87,48,35,21,13,6,8,30,1070,28,1111
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,11,102905,,Q,Stefan Koubek,L,175,AUT,27.79192334,102854,,,Sjeng Schalken,R,193,NED,28.10951403,6-4 6-4,3,R64,76,5,2,53,36,29,8,10,1,3,0,3,66,40,23,13,10,5,9,92,442,55,705
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,12,103852,,,Feliciano Lopez,L,188,ESP,23.07734428,103333,,,Ivo Karlovic,R,208,CRO,25.63723477,6-4 6-7(10) 7-6(5),3,R64,132,8,3,110,74,63,23,17,4,4,35,6,107,74,64,20,17,1,2,27,1120,64,604
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,13,104068,,,Robby Ginepri,R,183,USA,22.03148528,101869,,Q,Juan Luis Tati Rascon,R,,ESP,33.63175907,6-1 6-4,3,R64,72,6,0,51,35,29,9,9,1,1,3,5,60,35,22,9,8,7,10,60,635,484,45
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,14,104269,,,Fernando Verdasco,L,188,ESP,20.92539357,102035,,,Jonas Bjorkman,R,183,SWE,32.57221081,6-1 6-2,3,R64,66,5,2,37,21,18,11,7,0,0,3,0,59,28,11,17,8,3,8,39,858,51,740
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,15,104745,,,Rafael Nadal,L,185,ESP,18.37645448,102106,,,Davide Sanguinetti,R,188,ITA,32.14784394,6-2 6-1,3,R64,62,2,4,47,27,23,9,8,5,6,1,2,41,21,11,6,7,3,8,50,755,75,521
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,16,103018,,Q,Max Mirnyi,R,196,BLR,27.28542094,103176,,WC,David Sanchez,R,183,ESP,26.49691992,6-3 7-6(3),3,R64,93,14,2,69,46,38,12,11,1,2,2,4,81,46,33,15,10,7,9,76,520,74,538
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,17,102450,1,,Tim Henman,R,185,GBR,30.11635866,102610,,,Albert Costa,R,180,ESP,29.31690623,6-4 6-2,3,R32,85,12,4,62,38,31,8,9,7,9,4,2,57,34,19,10,9,5,10,5,2720,54,705
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,18,103344,,,Ivan Ljubicic,R,193,CRO,25.58521561,102783,13,,Rainer Schuettler,R,180,GER,28.48186174,6-3 6-0,3,R32,55,7,1,51,38,28,7,8,1,1,2,1,45,20,15,9,7,2,6,29,1085,17,1310
2004-1536,Madrid Masters,Hard,48,M,2004,20041018,19,102179,,Q,Antony Dupuis,R,185,FRA,31.64681725,103428,12,,Juan Ignacio Chela,R,190,ARG,25.13620808,7-6(4) 6-3,3,R32,100,6,1,75,47,36,12,11,1,3,4,5,76,49,31,10,10,3,6,96,436,24,1155
