tourney_id,tourney_name,surface,draw_size,tourney_level,tour_yr,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-6242,Winston-Salem,Hard,64,A,2019,20190819,276,126207,10,,Frances Tiafoe,R,188,USA,21.57700205,104871,,,Jeremy Chardy,R,188,FRA,32.51471595,4-2 RET,3,R32,18,3,0,15,11,8,2,3,1,2,3,2,14,9,5,1,3,2,4,52,1015,74,815
2019-0301,Auckland,Hard,32,A,2019,20190107,291,105807,4,,Pablo Carreno Busta,R,188,ESP,27.49075975,103970,,WC,David Ferrer,R,175,ESP,36.76659822,1-1 RET,3,R16,19,0,0,8,2,2,3,1,0,0,0,0,11,9,5,2,1,1,1,24,1705,124,460
2019-0410,Monte Carlo Masters,Clay,64,M,2019,20190415,242,106065,11,,Marco Cecchinato,R,185,ITA,26.53798768,106000,,,Damir Dzumhur,R,172,BIH,26.90212183,4-0 RET,3,R64,19,0,1,14,6,5,4,2,0,0,0,0,11,3,1,2,2,0,2,16,2021,54,930
2019-0337,Vienna,Hard,32,A,2019,20191021,297,106233,1,,Dominic Thiem,R,185,AUT,26.13004791,105807,,,Pablo Carreno Busta,R,188,ESP,28.27652293,5-0 RET,3,QF,20,4,2,12,5,4,5,2,1,1,1,0,21,18,6,1,3,1,4,5,5085,34,1330
2019-0352,Paris Masters,Hard,64,M,2019,20191028,251,133430,,,Denis Shapovalov,L,185,CAN,20.53661875,104468,,,Gilles Simon,R,183,FRA,34.83367556,2-2 RET,3,R64,23,2,2,11,6,5,1,2,0,1,0,1,20,14,6,3,2,3,4,28,1460,53,990
2019-9164,Zhuhai,Hard,32,A,2019,20190923,279,200175,,,Miomir Kecmanovic,R,183,SRB,20.06297057,134770,,,Casper Ruud,R,183,NOR,20.75290897,6-2 0-0 RET,3,R32,30,4,0,23,18,14,3,4,1,1,1,0,22,18,10,1,4,3,5,50,1029,59,983
2019-6242,Winston-Salem,Hard,64,A,2019,20190819,279,134770,12,,Casper Ruud,R,183,NOR,20.65708419,144750,,,Lloyd Harris,R,193,RSA,22.48049281,6-1 0-0 RET,3,R32,31,2,0,20,10,9,7,4,0,0,4,0,26,13,8,4,3,2,4,54,976,99,535
2019-6242,Winston-Salem,Hard,64,A,2019,20190819,289,126207,10,,Frances Tiafoe,R,188,USA,21.57700205,105936,8,,Filip Krajinovic,R,185,SRB,27.47433265,6-2 0-0 RET,3,R16,36,0,2,19,8,7,9,4,0,0,1,1,28,13,6,7,4,1,3,52,1015,51,1018
2019-M007,Miami Masters,Hard,128,M,2019,20190318,191,105430,,Q,Radu Albot,R,175,MDA,29.34702259,105051,,,Matthew Ebden,R,188,AUS,31.30732375,6-0 3-2 RET,3,R128,37,5,1,29,23,18,3,5,0,0,2,7,27,7,4,6,6,0,4,46,971,50,956
2019-0439,Umag,Clay,32,A,2019,20190715,293,105882,,,Stefano Travaglia,R,185,ITA,27.57289528,104926,1,,Fabio Fognini,R,178,ITA,32.14236824,6-1 2-1 RET,3,R16,37,5,2,29,16,15,6,5,0,0,0,2,34,21,11,3,5,0,3,105,543,9,2785
