tourney_id,tourney_name,surface,draw_size,tourney_level,tour_yr,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,1,101965,,,Wayne Ferreira,R,185,RSA,32.07665982,103344,,,Ivan Ljubicic,R,193,CRO,24.56947296,7-6(7) 7-6(5),3,R64,,,,,,,,,,,,,,,,,,,,28,1090,42,865
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,2,102358,,Q,Thomas Enqvist,R,190,SWE,29.58521561,102338,,,Yevgeny Kafelnikov,R,190,RUS,29.64818617,6-3 RET,3,R64,,,,,,,,,,,,,,,,,,,,146,258,40,950
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,3,102998,,Q,Jan Michael Gambill,R,190,USA,26.36002738,103786,,,Nikolay Davydenko,R,178,RUS,22.36276523,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,57,660,43,855
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,4,102610,,,Albert Costa,R,180,ESP,28.30116359,103602,,,Fernando Gonzalez,R,183,CHI,23.20602327,6-3 7-6(3),3,R64,,,,,,,,,,,,,,,,,,,,23,1170,22,1190
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,5,102374,,WC,Alex Corretja,R,180,ESP,29.50581793,104745,,WC,Rafael Nadal,L,185,ESP,17.36071184,6-2 3-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,,127,290,49,788
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,6,103888,,,Mardy Fish,R,188,USA,21.84257358,102450,,,Tim Henman,R,185,GBR,29.10061602,7-6(4) 6-3,3,R64,,,,,,,,,,,,,,,,,,,,25,1145,30,1055
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,7,103852,,,Feliciano Lopez,L,188,ESP,22.06160164,103151,,,Mariano Zabaleta,R,183,ARG,25.62080767,6-2 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,35,1025,27,1133
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,8,103292,,,Gaston Gaudio,R,175,ARG,24.84325804,103813,,,Jarkko Nieminen,L,185,FIN,22.22313484,3-6 7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,37,1000,31,1050
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,9,103970,,Q,David Ferrer,R,175,ESP,21.53045859,104022,,,Mikhail Youzhny,R,183,RUS,21.30047912,1-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,72,480,29,1060
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,10,102434,,,Vincent Spadea,R,183,USA,29.23477071,103294,,Q,Christophe Rochus,R,170,BEL,24.82683094,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,33,1040,87,421
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,11,102035,,,Jonas Bjorkman,R,183,SWE,31.55646817,103498,,,Marat Safin,R,193,RUS,23.70978782,4-6 7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,,41,873,38,985
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,12,104068,,,Robby Ginepri,R,183,USA,21.01574264,103694,,Q,Olivier Rochus,R,168,BEL,22.73237509,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,34,1040,51,746
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,13,102344,,,Karol Kucera,R,188,SVK,29.60985626,103096,,,Arnaud Clement,R,173,FRA,25.82067077,7-6(3) 4-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,36,1008,26,1135
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,14,103428,,,Juan Ignacio Chela,R,190,ARG,24.12046543,103252,,Q,Alberto Martin,R,175,ESP,25.14715948,6-4 1-6 6-1,3,R64,,,,,,,,,,,,,,,,,,,,44,845,58,659
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,15,103454,,,Nicolas Massu,R,183,CHI,24.00821355,104269,,WC,Fernando Verdasco,L,188,ESP,19.90965092,7-6(2) 6-4,3,R64,,,,,,,,,,,,,,,,,,,,21,1192,102,383
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,16,103018,,,Max Mirnyi,R,196,BLR,26.2696783,103484,,,James Blake,R,185,USA,23.79192334,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,24,1160,39,975
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,17,103507,1,,Juan Carlos Ferrero,R,183,ESP,23.6659822,101965,,,Wayne Ferreira,R,185,RSA,32.07665982,6-3 2-6 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,1,4195,28,1090
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,18,102456,16,,Felix Mantilla,R,180,ESP,29.05407255,102358,,Q,Thomas Enqvist,R,190,SWE,29.58521561,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,19,1240,146,258
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,19,102998,,Q,Jan Michael Gambill,R,190,USA,26.36002738,102854,10,,Sjeng Schalken,R,193,NED,27.09377139,7-6(6) 6-2,3,R32,,,,,,,,,,,,,,,,,,,,57,660,14,1515
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,20,103387,7,,Paradorn Srichaphan,R,185,THA,24.33127995,102610,,,Albert Costa,R,180,ESP,28.30116359,6-3 6-7(5) 6-1,3,R32,,,,,,,,,,,,,,,,,,,,11,1845,23,1170
2003-1536,Madrid Masters,Hard,48,M,2003,20031013,21,103819,3,,Roger Federer,R,185,SUI,22.17932923,102374,,WC,Alex Corretja,R,180,ESP,29.50581793,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,3,3825,127,290
